CellLine,InitialCondition,Day,R
983b,10000,1.0,231.823776685422
983b,5000,1.25,170.043268077965
983b,5000,1.25,174.311692705532
983b,5000,1.25,172.304930528355
983b,5000,1.25,175.538003419955
983b,5000,1.25,167.645153983334
983b,5000,1.25,171.159294087051
983b,5000,1.25,168.453348374467
983b,5000,1.25,174.878750123525
983b,5000,1.25,172.665509647133
983b,5000,1.25,171.107381180739
983b,5000,1.25,173.428354056082
983b,5000,1.25,170.185036109783
983b,5000,1.25,170.252150645207
983b,5000,1.25,167.683010028913
983b,5000,1.25,167.357204335779
983b,5000,1.25,173.406401318187
983b,5000,1.25,172.172284936396
983b,5000,1.25,169.272671635527
983b,5000,1.25,156.646605405395
983b,5000,1.25,167.977962174377
983b,5000,1.25,170.393744886283
983b,5000,1.25,168.716864649329
983b,10000,1.25,229.733744790842
983b,10000,1.25,234.079599749517
983b,10000,1.25,224.395298323031
983b,10000,1.25,232.337901252388
983b,10000,1.25,207.398500521787
983b,10000,1.25,227.049474375176
983b,10000,1.25,229.031022446517
983b,10000,1.25,231.88404655064
983b,10000,1.25,234.626634532857
983b,10000,1.25,231.039526580385
983b,10000,1.25,227.351111831534
983b,10000,1.25,219.04256417235
983b,10000,1.25,231.878555639822
983b,10000,1.25,225.939860743453
983b,10000,1.25,229.634309341954
983b,10000,1.25,232.086433169032
983b,10000,1.25,227.981115271558
983b,10000,1.25,219.094727387553
983b,10000,1.25,226.909657843686
983b,10000,1.25,224.395298323031
983b,1250,1.5,109.49809402709
983b,1250,1.5,58.0188823433443
983b,1250,1.5,266.281405936711
983b,1250,1.5,135.552297832106
983b,1250,1.5,75.5600681130606
983b,1250,1.5,186.93287605532
983b,1250,1.5,170.349035762516
983b,1250,1.5,70.5923602421478
983b,1250,1.5,68.2706230617317
983b,1250,1.5,75.1220284287591
983b,1250,1.5,242.422619985036
983b,1250,1.5,189.106636419861
983b,1250,1.5,185.24810796745
983b,1250,1.5,121.383956456059
983b,1250,1.5,17.2341753790379
983b,2500,1.5,125.900962953949
983b,2500,1.5,144.955291926334
983b,2500,1.5,146.938213620861
983b,2500,1.5,122.238414588843
983b,2500,1.5,205.788720974975
983b,2500,1.5,215.024708005376
983b,2500,1.5,190.451050185014
983b,2500,1.5,151.464109740842
983b,2500,1.5,126.303576063484
983b,2500,1.5,150.876352286984
983b,2500,1.5,203.294112520286
983b,2500,1.5,224.655304802122
983b,2500,1.5,197.524215496081
983b,2500,1.5,155.10757861656
983b,2500,1.5,152.274810406839
983b,2500,1.5,127.921263671736
983b,2500,1.5,126.00173683785
983b,2500,1.5,152.01620082865
983b,2500,1.5,171.263091278503
983b,2500,1.5,198.824443701155
983b,2500,1.5,171.781099400748
983b,2500,1.5,152.216457147681
983b,2500,1.5,125.971506820306
983b,5000,1.5,166.825441104854
983b,5000,1.5,184.712860746958
983b,5000,1.5,186.456932670408
983b,5000,1.5,173.018006083859
983b,5000,1.5,166.764573012943
983b,5000,1.5,170.229778956979
983b,5000,1.5,168.468417281264
983b,5000,1.5,171.18896349019
983b,5000,1.5,188.110655677372
983b,5000,1.5,168.822154102749
983b,5000,1.5,171.418659935279
983b,5000,1.5,166.802619365978
983b,5000,1.5,167.387528643439
983b,5000,1.5,167.235804535129
983b,5000,1.5,178.129242654538
983b,5000,1.5,171.381629049749
983b,5000,1.5,194.597975913489
983b,5000,1.5,184.0175054499
983b,5000,1.5,161.694451097899
983b,5000,1.5,167.43302857116
983b,5000,1.5,168.792078103574
983b,5000,1.5,165.427216836409
983b,10000,1.5,225.810563988172
983b,10000,1.5,228.414994036421
983b,10000,1.5,220.601590196258
983b,10000,1.5,228.836922551135
983b,10000,1.5,203.687051803077
983b,10000,1.5,223.039277786284
983b,10000,1.5,227.323248519733
983b,10000,1.5,227.964429931916
983b,10000,1.5,230.467405053077
983b,10000,1.5,227.83635197452
983b,10000,1.5,221.319643779431
983b,10000,1.5,216.501311273073
983b,10000,1.5,227.161251627319
983b,10000,1.5,221.22786529092
983b,10000,1.5,224.072636069697
983b,10000,1.5,227.451615405762
983b,10000,1.5,224.383949852264
983b,10000,1.5,215.390337435379
983b,10000,1.5,223.323598365799
983b,10000,1.5,221.594751172237
983b,1250,1.75,13.8900691159082
983b,1250,1.75,13.7060857422586
983b,1250,1.75,14.515655079903
983b,1250,1.75,9.15281233241614
983b,1250,1.75,10.6881826468232
983b,1250,1.75,17.7422392944191
983b,1250,1.75,15.031163619242
983b,1250,1.75,13.7983840796459
983b,1250,1.75,23.2534485886906
983b,1250,1.75,11.8162299114699
983b,1250,1.75,23.0340718846609
983b,1250,1.75,18.2361573992269
983b,1250,1.75,12.3416493968653
983b,1250,1.75,15.3652296900363
983b,1250,1.75,20.8351019551349
983b,2500,1.75,128.968765640971
983b,2500,1.75,126.021881944523
983b,2500,1.75,127.075046439219
983b,2500,1.75,125.061373907263
983b,2500,1.75,130.902962732814
983b,2500,1.75,132.742071524275
983b,2500,1.75,130.592303701924
983b,2500,1.75,129.21457787751
983b,2500,1.75,130.20294063263
983b,2500,1.75,132.090252926472
983b,2500,1.75,125.98158850987
983b,2500,1.75,129.567731659875
983b,2500,1.75,129.831963534706
983b,2500,1.75,127.19486179377
983b,2500,1.75,130.699177933492
983b,2500,1.75,131.164504802254
983b,2500,1.75,126.875111103733
983b,2500,1.75,128.653436195474
983b,2500,1.75,126.594688751147
983b,2500,1.75,126.233217770037
983b,2500,1.75,126.775031469771
983b,2500,1.75,127.434129568777
983b,2500,1.75,128.050193550706
983b,5000,1.75,168.543741606377
983b,5000,1.75,173.684322346987
983b,5000,1.75,171.854981038816
983b,5000,1.75,174.530011852507
983b,5000,1.75,166.855881131883
983b,5000,1.75,170.363946335493
983b,5000,1.75,169.662154998182
983b,5000,1.75,170.267060355205
983b,5000,1.75,171.470478601576
983b,5000,1.75,170.490558874594
983b,5000,1.75,173.52347495253
983b,5000,1.75,168.39305926264
983b,5000,1.75,169.332647570891
983b,5000,1.75,167.947744474244
983b,5000,1.75,166.939541135742
983b,5000,1.75,171.285328005189
983b,5000,1.75,170.587317917748
983b,5000,1.75,169.781810510149
983b,5000,1.75,154.11420674625
983b,5000,1.75,169.122638744145
983b,5000,1.75,168.671720478111
983b,5000,1.75,169.452535758084
983b,10000,1.75,224.270788388628
983b,10000,1.75,225.939860743453
983b,10000,1.75,221.932490590097
983b,10000,1.75,228.148110832036
983b,10000,1.75,204.48934515797
983b,10000,1.75,221.852372457986
983b,10000,1.75,225.31538103408
983b,10000,1.75,226.315915580321
983b,10000,1.75,229.645329049268
983b,10000,1.75,227.082978284598
983b,10000,1.75,220.630374521679
983b,10000,1.75,215.572993427701
983b,10000,1.75,226.102732733254
983b,10000,1.75,220.117754405144
983b,10000,1.75,222.069707280708
983b,10000,1.75,223.851558023685
983b,10000,1.75,223.005094990852
983b,10000,1.75,214.07221949365
983b,10000,1.75,224.140599828168
983b,10000,1.75,218.375115550262
983b,1250,2.0,25.6417369289219
983b,1250,2.0,14.1615608916735
983b,1250,2.0,16.9370126443917
983b,1250,2.0,17.8847475061301
983b,1250,2.0,14.0716460261152
983b,1250,2.0,11.153100554151
983b,1250,2.0,32.7305872060769
983b,1250,2.0,19.0531007378543
983b,1250,2.0,15.7728660661912
983b,1250,2.0,14.515655079903
983b,1250,2.0,16.7106725969193
983b,1250,2.0,28.7677828872011
983b,1250,2.0,12.3416493968653
983b,1250,2.0,22.9789021984387
983b,1250,2.0,30.6891285697066
983b,2500,2.0,133.352650084885
983b,2500,2.0,130.358820533408
983b,2500,2.0,129.626495036853
983b,2500,2.0,128.880154513119
983b,2500,2.0,134.093028586724
983b,2500,2.0,137.983840796459
983b,2500,2.0,134.225492353172
983b,2500,2.0,132.349448755827
983b,2500,2.0,133.390716955982
983b,2500,2.0,134.565484303274
983b,2500,2.0,130.358820533408
983b,2500,2.0,132.483643838641
983b,2500,2.0,133.932012085204
983b,2500,2.0,132.080637510907
983b,2500,2.0,134.527749852606
983b,2500,2.0,133.419265946142
983b,2500,2.0,131.705318348911
983b,2500,2.0,130.835065679209
983b,2500,2.0,130.183442521311
983b,2500,2.0,128.998280932086
983b,2500,2.0,129.538333831762
983b,2500,2.0,131.541379143672
983b,2500,2.0,130.543704448026
983b,5000,2.0,171.492688437233
983b,5000,2.0,175.88474309102
983b,5000,2.0,174.165991525104
983b,5000,2.0,176.1803820006
983b,5000,2.0,170.45332635977
983b,5000,2.0,173.267269041417
983b,5000,2.0,171.6406589284
983b,5000,2.0,174.406331831351
983b,5000,2.0,174.689932471128
983b,5000,2.0,172.95931730206
983b,5000,2.0,176.604939160042
983b,5000,2.0,171.818044190914
983b,5000,2.0,171.950972305629
983b,5000,2.0,169.415084510449
983b,5000,2.0,170.936669936586
983b,5000,2.0,172.68756578654
983b,5000,2.0,172.702274458283
983b,5000,2.0,171.699798441975
983b,5000,2.0,157.495116380553
983b,5000,2.0,172.547853884733
983b,5000,2.0,170.192498743569
983b,5000,2.0,170.97379719498
983b,10000,2.0,225.478704110181
983b,10000,2.0,226.674566307884
983b,10000,2.0,223.278125700459
983b,10000,2.0,228.359453937711
983b,10000,2.0,207.269923319207
983b,10000,2.0,222.343886617488
983b,10000,2.0,225.900551086362
983b,10000,2.0,227.155646554957
983b,10000,2.0,230.04293227742
983b,10000,2.0,227.76390088392
983b,10000,2.0,221.812338416031
983b,10000,2.0,216.565771903083
983b,10000,2.0,228.086923560315
983b,10000,2.0,221.520258694071
983b,10000,2.0,222.069707280708
983b,10000,2.0,225.658766038815
983b,10000,2.0,223.062039623053
983b,10000,2.0,215.231190448855
983b,10000,2.0,224.881183804753
983b,10000,2.0,219.632852760257
983b,1250,2.25,19.4487041751014
983b,1250,2.25,21.9621258200179
983b,1250,2.25,24.2684232763545
983b,1250,2.25,19.9639901184333
