CellLine,InitialCondition,Day,R,ϕ,η
793b,10000,24,289.31367657892,0.8965240005719857,0.8125763042855855
793b,2500,24,337.164598456416,0.888830872024602,0.6445149519445694
793b,2500,24,327.916678921963,0.8598540427994954,0.6366056238581471
793b,2500,24,347.444592689338,0.8827288773637365,0.6865725729150605
793b,2500,24,359.519750296256,0.868090182757882,0.6529931343294015
793b,2500,24,339.842089253517,0.852573325169244,0.6239605427397971
793b,2500,24,328.596085468705,0.8567715392462569,0.5672766995484672
793b,2500,24,355.170999392864,0.8749923243971589,0.6611506227460697
793b,2500,24,336.31903320166,0.8653749407347205,0.6438232523391818
793b,2500,24,335.79441641349,0.8708141669299796,0.6346714287539157
793b,2500,24,335.9240004862,0.8633447676317674,0.5637453469070296
793b,2500,24,344.099462107415,0.8909802155737819,0.660300696345398
793b,5000,24,345.544882522012,0.9198666722751967,0.7863666764989132
793b,5000,24,335.502852476092,0.8762654323411893,0.7186012694988199
793b,5000,24,352.306454551711,0.8974840789734699,0.7595681679120613
793b,5000,24,353.638388635515,0.8961030890106875,0.7942862126734532
793b,5000,24,334.949796805797,0.8938187931217774,0.755005157240738
793b,5000,24,337.709658504581,0.8748501852430386,0.6963796776851257
793b,5000,24,375.885138522542,0.9022190750398693,0.7506873954235385
793b,5000,24,368.319584298571,0.8930200038312737,0.7805333558816531
793b,5000,24,343.265965463564,0.8673439185618987,0.697651577020343
793b,10000,7,247.103505237208,0.608661998948212,0.0
793b,10000,7,250.295986248602,0.630292055938053,0.0
793b,10000,7,258.792823203947,0.5167597718177501,0.0
793b,10000,7,256.817564175041,0.506829905764358,0.0
793b,10000,7,254.904176349334,0.4551822374497206,0.0
793b,10000,7,236.049732124695,0.28829895197886424,0.0
793b,10000,7,262.455314735781,0.4979362874006885,0.11367546073530886
793b,10000,7,248.369978052655,0.5029657261321469,0.0
793b,10000,7,246.873535424991,0.5667966027193743,0.0
793b,10000,7,242.816340679457,0.2456094753725644,0.0
793b,10000,7,262.506837637079,0.5838889693018151,0.13168773379790488
793b,2500,7,161.155452127031,0.138135422673274,0.0
793b,2500,7,161.98941920315,0.0,0.0
793b,2500,7,158.765144445706,0.08617357363994593,0.0
793b,2500,7,161.743329186894,0.2004541464652717,0.0
793b,2500,7,177.27472851492,0.0,0.0
793b,2500,7,173.718757801572,0.0,0.0
793b,2500,7,168.036278996772,0.23447542587057335,0.0
793b,2500,7,171.2066030351,0.2765321339721601,0.0
793b,2500,7,162.790418668261,0.3006873772547003,0.0
793b,2500,7,171.467792314715,0.19649977763831805,0.0
793b,5000,7,209.506089953225,0.11049168777564151,0.0
793b,5000,7,208.084671324186,0.4202080909727172,0.0
793b,5000,7,210.093266265944,0.36458156330459973,0.0
793b,5000,7,204.315277559851,0.37255033941668647,0.0
793b,5000,7,203.670404142575,0.43324513664282305,0.0
793b,5000,7,212.957535222296,0.2896739936795396,0.0
793b,5000,7,212.474351986125,0.5039535850510811,0.0
793b,5000,7,208.856052518702,0.7462133912100121,0.0
793b,5000,7,192.66957395984,0.6864746538668519,0.0
793b,5000,7,212.172093412206,0.1643190241336975,0.0
793b,5000,7,203.477147794049,0.2859461994750925,0.0
793b,5000,7,210.539873231307,0.4111288020807955,0.0
793b,5000,7,207.804427259066,0.38789938043573036,0.0
793b,5000,7,208.396398220489,0.17157859209467577,0.0
983b,10000,10,316.862075871987,0.8281312135654145,0.4699563019633203
