CellLine,InitialCondition,Day,R,ϕ,η
983b,2500,14,342.670907107553,0.854178746262984,0.556256238649358
983b,2500,14,302.986697124491,0.8300225630619178,0.5341407973468164
983b,2500,14,299.920589410417,0.8575397417684822,0.5227998681666934
983b,2500,14,300.468562077224,0.7972024579698751,0.5069794435692909
983b,2500,14,293.34973495564,0.8538856451559923,0.5275854352104689
983b,2500,14,298.885805350222,0.8696258652378621,0.5102794604629648
983b,2500,14,323.488178600015,0.8244050688258586,0.5045076197075395
983b,5000,14,307.977969285017,0.8699253345882167,0.58666249215699
983b,5000,14,344.367325822547,0.8798658060423241,0.6149997720057029
983b,5000,14,356.823152773541,0.8845155686487629,0.5975914526761749
983b,5000,14,319.210107826352,0.8960164841663488,0.6065972882221995
983b,5000,14,351.71620497244,0.890149905914928,0.6490157790629177
983b,5000,14,312.983918728002,0.873140936452996,0.6065979254818438
983b,5000,14,305.291641667965,0.8609131703999395,0.6016569566424789
983b,5000,14,316.365041888495,0.8907299970043525,0.6001886477345023
983b,5000,14,351.598036149946,0.8793745157128191,0.5781432487852541
983b,5000,14,313.987904505776,0.8627803360681068,0.6223985640770378
983b,10000,14,352.085139621898,0.8635659368074466,0.6764451949385346
983b,10000,14,335.18389326545,0.860946697795391,0.6476514560862323
983b,10000,14,383.592523347955,0.930509923117908,0.6328131845140852
983b,10000,14,333.587471026367,0.8441074062773822,0.626916111442708
983b,10000,14,385.872235372706,0.9033398815504693,0.6200237198394319
983b,10000,14,379.371316345779,0.8997131249605074,0.6244631398889967
983b,10000,14,344.490830075517,0.8944939088498218,0.6333486074548875
983b,10000,14,339.727751776495,0.8578153135646923,0.6491310186852266
983b,10000,14,346.955935083102,0.9104824299407909,0.6656704869546429
983b,10000,14,373.975388637663,0.8914523023422756,0.620807492203273
983b,2500,16,316.972249640357,0.8363227320250356,0.5823040791261903
983b,2500,16,338.335973421069,0.8712194806432583,0.5655105745145611
983b,2500,16,346.770206457138,0.8601709186814083,0.6001706488552745
983b,2500,16,328.866856940873,0.844829110527946,0.5722744190381577
983b,2500,16,318.960433508427,0.8589903132515848,0.6327306190265947
983b,2500,16,328.194753904659,0.8821673735452569,0.6059487685158574
983b,2500,16,305.663517755853,0.8800180119988045,0.5807197045375464
983b,2500,16,333.117607987246,0.8795980554805178,0.6081108822400401
983b,2500,16,327.653377246489,0.8291157371223709,0.605839520395162
983b,2500,16,329.229281826591,0.8778052187348309,0.5729327134988701
983b,5000,16,327.767425589806,0.8737714259344698,0.6372188573177078
983b,5000,16,337.976038725119,0.8758815747534522,0.661521827374389
983b,5000,16,338.447875034896,0.8941483473678327,0.6524582170617346
983b,5000,16,342.033120055441,0.9083678878708915,0.6463446248695711
983b,5000,16,354.801808390378,0.8792336846748946,0.674774575826541
983b,5000,16,321.202812281752,0.9037083042905812,0.6733618702306378
983b,5000,16,398.081991914448,0.9219266859249531,0.6432465600690875
983b,5000,16,341.903693873744,0.8958036480937249,0.6773571731767029
983b,5000,16,324.101766629573,0.8924645676667138,0.6412214114857194
983b,5000,16,327.434923870835,0.8732550133164689,0.7071813754702998
983b,10000,16,373.599112078448,0.8700466797309401,0.6437942541753863
983b,10000,16,308.746659506376,0.8557320830346049,0.7026055045263063
983b,10000,16,374.276400304672,0.9095652502273077,0.7145543747305155
983b,10000,16,350.762028731521,0.8881561655084458,0.6971558539196918
983b,10000,16,335.628153442803,0.9115757964688931,0.7092843796729256
983b,10000,16,336.008166744894,0.9170191984366679,0.6912045590751561
983b,10000,16,356.425319981726,0.9308359580580362,0.689747604168103
983b,10000,16,349.852342598047,0.9030783368767521,0.6808154603899932
983b,10000,16,331.679562203307,0.9246340592118498,0.7206155236016074
983b,10000,16,366.916304087529,0.8743929799605287,0.5857482810325977
983b,2500,18,335.296113510702,0.8536668862202992,0.6572582307273925
983b,2500,18,349.376905874552,0.902004902469503,0.6911151003020446
983b,2500,18,361.417440477114,0.8985351909959417,0.6294063280064914
983b,2500,18,339.652470659544,0.9179795894504875,0.6707055236011833
983b,2500,18,348.553207538342,0.8832032441621992,0.6524252378603336
983b,2500,18,236.893023951249,0.711910156794838,0.29028711749300895
983b,2500,18,326.150534345965,0.8735578237361573,0.6494887464491707
983b,2500,18,336.005239576758,0.9284698767906936,0.7024342999232116
983b,2500,18,326.227423752239,0.8523970387204961,0.6934625809231997
983b,2500,18,307.92287533562,0.8545905617416125,0.6304760620613153
983b,5000,18,350.062425953617,0.8744586542750321,0.7241750096169345
983b,5000,18,358.309204589405,0.9288088336117802,0.7061256102564952
983b,5000,18,348.124029418124,0.874209776376298,0.6900479179010203
983b,5000,18,338.598229979924,0.8689554600263362,0.7227585551575125
983b,5000,18,338.40355479535,0.9108690734533251,0.6655689184978795
983b,5000,18,352.103995208978,0.8999259316526508,0.7510428340865617
983b,5000,18,336.468877870577,0.9055059438604343,0.7349550906513354
983b,5000,18,352.777943162072,0.8959842275008533,0.7023688155042694
983b,5000,18,382.427961619125,0.9131958320054966,0.6934543717400361
983b,5000,18,360.265829803306,0.8736034925567312,0.6927082017971078
983b,5000,18,348.409971659244,0.8582320856584517,0.7143997756002834
983b,5000,18,370.703184302229,0.9177720039669411,0.758623898047088
983b,5000,18,360.219415756502,0.9019125450901402,0.7143655149605528
983b,5000,18,366.019895722133,0.8875021965059915,0.7013849456606499
983b,5000,18,360.720098755469,0.8877840770386424,0.7369573613952405
983b,5000,18,358.444368881446,0.9010653993754633,0.719926264646105
983b,5000,18,340.997056213286,0.8825682466468349,0.7046712792894714
983b,5000,18,345.149722925055,0.9030211394281951,0.7399031528219422
983b,5000,18,341.025898295755,0.8929641646136869,0.719664048343577
983b,5000,18,343.521595222422,0.928425329955154,0.7353359417073506
983b,10000,18,368.057127323025,0.9061448712904575,0.7337010063176341
983b,10000,18,361.684715581987,0.9142721129920062,0.7091214970970656
983b,10000,18,309.094492056185,0.9020313249341027,0.7568534719279377
983b,10000,18,367.002742576494,0.8852478627766218,0.7363892331497759
983b,10000,18,352.080250971521,0.926571771949435,0.7836125254633168
983b,10000,18,380.541355389761,0.8365822410995143,0.6955387323926807
983b,10000,18,389.495683187872,0.9110300324177867,0.7397051819773497
983b,10000,18,358.948212859565,0.9006423858208976,0.8185733729411779
983b,10000,18,342.211360391671,0.942412809927798,0.7011743686147541
983b,10000,18,361.758810339002,0.8790177276282981,0.6978323702347385
983b,10000,18,320.261374622518,0.9217299951914885,0.7572009502489732
983b,10000,18,347.602374278256,0.8825996681630613,0.7328159209673942
983b,10000,18,358.320870523152,0.8591439309342381,0.7070268800491567
983b,10000,18,350.111591137106,0.8913140829206008,0.7654550008176837
983b,10000,18,318.641892189554,0.9133629222711099,0.8120254073481911
983b,10000,18,383.158313144225,0.9168283768573838,0.7154729706220961
983b,10000,18,371.534030096718,0.9048526171814341,0.7362364803526683
983b,10000,18,346.332429167199,0.9266545888100888,0.784526250322389
983b,10000,18,373.855705357331,0.9021717545584655,0.7124679053077554
983b,2500,21,304.971723560556,0.8993451250572916,0.8080418478975617
983b,2500,21,357.538411364408,0.9102736142439981,0.761565894482829
983b,2500,21,321.410966149794,0.8662004645666862,0.6927870663085673
983b,2500,21,384.356488717233,0.9185048643583194,0.6729807648312287
983b,2500,21,320.199179225131,0.8835024764106569,0.8069148596735142
983b,2500,21,375.821680160331,0.9235302791406245,0.7553312497899322
983b,2500,21,318.193234891529,0.8602835518916132,0.7572889975229106
983b,2500,21,340.831888307067,0.9096036325163969,0.771240845000801
983b,2500,21,322.549599722378,0.9033031069491415,0.7641794799089164
983b,2500,21,369.00856193219,0.8650906493214047,0.6747912841120977
983b,2500,21,307.29298592329,0.8668356076971895,0.8099731446152013
983b,2500,21,307.807066060251,0.8972354903167418,0.7898813785190879
983b,2500,21,358.020179899524,0.8907994830013268,0.758740560027089
983b,2500,21,309.277404691475,0.9256862737149983,0.7807021838373002
983b,2500,21,350.595850443536,0.9342320212020092,0.7699361492714035
983b,2500,21,347.279659113032,0.894834504364582,0.786080643447
983b,2500,21,357.031200486193,0.92866190798379,0.7480635567258037
983b,2500,21,334.610470197337,0.8970741638504529,0.0
983b,2500,21,361.998664500554,0.9140361360526555,0.7533490604760218
